Крупы овсяная и перловая,"{'28': 0.9, '68': 0.5, '18': 0.8, '80': 0.5, '03': 8.8, '38': 0.4, '22': 0.75, '63': 4.05, '66': 1.5499999999999998, '73': 1.2000000000000002, '46': 1.3, '45': 1.0, '57': 0.4, '41': 0.8, '60': 0.35, '20': 0.4, '71': 0.08, '58': 1.2000000000000002, '12': 2.8000000000000003, '92': 0.4, '32': 0.8}"
Куры охлажденные и мороженые,"{'04': 0.1, '28': 1.58, '18': 4.99, '29': 1.2, '80': 0.81, '03': 12.18, '38': 4.55, '22': 5.640000000000001, '63': 11.28, '66': 9.98, '73': 5.71, '46': 8.31, '83': 3.24, '19': 2.6399999999999997, '86': 3.5199999999999996, '52': 1.62, '41': 1.97, '78': 7.63, '60': 1.71, '45': 1.76, '65': 3.24, '20': 3.3899999999999997, '40': 1.8199999999999998, '53': 1.98, '92': 1.5, '32': 0.9}"
Левомеколь,{}
Лимоны,"{'68': 0.7, '45': 1.06, '18': 2.7600000000000002, '61': 0.9199999999999999, '29': 1.4900000000000002, '03': 1.55, '22': 2.15, '50': 0.51, '66': 0.36, '73': 1.66, '75': 1.15, '19': 0.45, '83': 1.17, '57': 0.2, '92': 0.45, '41': 0.11, '60': 0.32, '80': 0.45, '20': 0.36, '46': 0.64, '32': 0.6, '58': 0.57, '12': 0.48, '28': 0.19, '94': 0.66, '63': 0.53}"
Линекс,{}
Лоперамид,{}
Лоратадин,{}
Лук репчатый,"{'68': 13.22, '28': 1.3900000000000001, '29': 3.8400000000000003, '18': 12.68, '61': 2.16, '80': 2.38, '03': 6.390000000000001, '22': 10.589999999999998, '38': 3.27, '94': 0.96, '66': 2.3800000000000003, '73': 7.58, '45': 3.84, '46': 3.55, '19': 5.180000000000001, '57': 0.52, '41': 0.42000000000000004, '60': 0.67, '63': 6.03, '01': 3.06, '40': 0.28, '20': 2.95, '71': 2.65, '32': 2.23, '58': 2.09, '53': 1.5499999999999998, '12': 1.45, '75': 3.1}"
Майонез,"{'20': 10.56, '25': 1.3000000000000003, '45': 0.98, '18': 3.080000000000001, '61': 3.0, '03': 6.909999999999999, '22': 6.720000000000002, '50': 0.67, '66': 2.1, '73': 1.18, '83': 2.36, '19': 1.35, '78': 1.6, '60': 1.5899999999999999, '12': 0.22, '01': 0.74, '80': 0.75, '40': 0.75, '68': 3.1599999999999997, '46': 1.32, '29': 0.72, '53': 1.75, '63': 1.7799999999999998}"
Маникюр,{}
Маргарин,"{'68': 0.18, '04': 0.8, '28': 0.18, '29': 0.5, '97': 0.2, '03': 0.2, '50': 0.25, '63': 1.9399999999999995, '66': 0.4, '83': 0.34, '52': 0.25, '41': 0.18, '60': 0.5, '80': 0.5, '01': 0.75, '46': 0.36, '32': 0.36, '53': 0.5, '22': 0.2, '73': 0.2}"
Масло оливковое,{'66': 0.25}
Масло подсолнечное,"{'04': 2.5, '28': 1.8, '94': 6.3, '45': 2.0, '18': 6.6, '61': 3.8, '29': 1.8, '75': 4.5, '80': 3.0, '03': 14.600000000000003, '38': 1.0, '63': 12.800000000000002, '22': 20.500000000000004, '50': 5.0, '66': 7.300000000000001, '73': 6.5, '19': 1.9, '52': 1.0, '41': 2.0, '78': 1.0, '60': 12.700000000000001, '01': 0.9, '65': 1.0, '20': 3.0, '68': 21.0, '46': 0.9, '58': 1.8, '53': 1.0, '12': 1.9, '98': 1.8}"
Масло сливочное,"{'68': 0.4, '18': 1.27, '61': 0.36, '29': 1.9799999999999998, '80': 0.36, '03': 2.19, '63': 1.2599999999999998, '19': 0.6900000000000001, '57': 0.18, '60': 0.9400000000000001, '45': 2.42, '01': 0.18, '14': 1.35, '65': 0.18, '20': 0.18, '46': 0.36, '40': 0.16, '71': 0.2, '66': 0.54, '32': 0.2, '53': 0.39999999999999997, '12': 0.2, '07': 0.04, '28': 0.18, '22': 0.18, '94': 0.18, '92': 0.18}"
Метамизол натрия (Анальгин отечественный),{}
Молоко сгущенное с сахаром,"{'28': 0.38, '29': 0.3, '66': 0.3, '52': 0.28, '92': 1.96, '73': 0.3, '03': 0.21, '63': 0.6799999999999999, '80': 0.6, '46': 2.92, '45': 0.44, '14': 1.02, '53': 0.38}"
Морковь,"{'68': 5.460000000000001, '04': 1.54, '28': 2.66, '25': 0.28, '29': 0.95, '46': 4.81, '18': 5.19, '61': 3.6799999999999997, '03': 1.8399999999999999, '22': 14.53, '38': 3.38, '94': 2.94, '66': 3.4200000000000004, '73': 2.4, '19': 5.12, '57': 0.4, '86': 0.82, '41': 2.2199999999999998, '63': 6.41, '45': 4.33, '12': 5.5, '14': 0.35, '80': 1.05, '65': 0.34, '20': 1.22, '50': 0.08, '32': 3.7400000000000007, '56': 2.1500000000000004, '58': 1.57, '75': 4.88}"
Мороженое сливочное,"{'61': 0.02, '50': 0.39, '63': 0.9, '73': 0.14, '22': 1.29, '03': 0.45, '60': 0.14, '45': 0.18, '20': 0.26, '68': 0.16, '80': 0.05, '46': 0.07, '36': 0.06, '66': 0.09, '53': 0.07}"
Мука пшеничная,"{'68': 4.0, '04': 3.0, '45': 11.0, '28': 8.0, '18': 4.0, '61': 2.0, '75': 10.0, '80': 8.0, '63': 7.0, '66': 5.0, '73': 12.0, '19': 6.0, '41': 2.0, '03': 7.0, '60': 8.0, '14': 3.0, '65': 3.0, '20': 2.0, '46': 6.0, '32': 2.0, '58': 2.0, '53': 4.0}"
Мыло туалетное,{}
Мыло хозяйственное,{}
Мёд пчелиный натуральный,"{'03': 1.0, '60': 1.0}"
Нимесулид,{}
Овощи замороженные,{'50': 0.8}
"Овощи натуральные консервированные, маринованные","{'68': 0.34, '04': 0.5, '45': 8.72, '28': 0.78, '94': 1.25, '18': 3.55, '61': 2.0500000000000003, '75': 1.4500000000000002, '80': 2.39, '03': 7.960000000000003, '38': 0.3, '63': 3.8, '22': 3.66, '50': 0.15, '66': 4.36, '73': 3.23, '46': 0.95, '19': 0.8, '83': 0.8, '41': 2.7399999999999998, '78': 0.31, '60': 1.2600000000000002, '12': 1.6400000000000001, '01': 0.34, '14': 0.42, '20': 0.4, '32': 0.68, '58': 2.59, '53': 7.580000000000001, '92': 0.25}"
Овсяные хлопья Геркулес,"{'68': 0.5, '18': 0.4, '61': 0.4, '80': 0.5, '03': 5.5, '38': 0.4, '22': 1.15, '63': 2.4499999999999997, '66': 1.9499999999999997, '46': 1.3, '45': 1.0, '57': 0.4, '41': 0.8, '73': 0.4, '60': 0.35, '20': 0.4, '58': 1.2000000000000002, '12': 2.8000000000000003, '92': 0.8}"
Огурцы свежие,"{'04': 0.6, '25': 0.26, '18': 3.1799999999999997, '80': 1.22, '22': 1.34, '38': 0.25, '94': 1.08, '63': 2.6100000000000003, '66': 1.82, '46': 5.390000000000001, '19': 0.8200000000000001, '86': 0.45, '52': 0.17, '41': 0.17, '73': 0.5, '03': 3.43, '60': 0.4, '45': 2.77, '12': 1.78, '68': 0.21, '65': 0.23, '20': 0.63, '32': 1.03, '56': 0.28, '58': 0.61, '97': 0.63, '28': 0.45}"
Окорочка куриные,"{'18': 5239.0, '03': 7084.0, '38': 856.0, '22': 1770.0, '94': 1693.0, '50': 726.0, '66': 868.0, '52': 2684.0, '45': 984.0, '65': 1697.0, '20': 764.0, '40': 1817.0, '32': 3330.0, '58': 1740.0, '53': 1983.0, '97': 861.0, '63': 2638.0}"
Орехи,"{'04': 0.03, '18': 0.4, '50': 0.24, '75': 0.06, '03': 0.04, '45': 0.15, '53': 0.88, '20': 0.2}"
Панкреатин,{}
Пеленки для новорожденных,{}
"Пельмени, манты, равиоли","{'45': 2.8499999999999996, '32': 0.4, '80': 1.0, '57': 0.9, '19': 2.95, '73': 1.8, '03': 0.9, '41': 0.8, '01': 0.9, '22': 3.54, '53': 1.0, '28': 3.6}"
Перевозка пассажиров,{}
Перец черный (горошек),"{'94': 0.04, '18': 0.08, '61': 0.1, '19': 0.02, '22': 0.02, '53': 0.01}"
Печень говяжья,{'22': 0.33}
Печенье,"{'04': 0.81, '28': 0.6000000000000001, '94': 1.25, '45': 0.5700000000000001, '18': 3.1300000000000003, '61': 0.24, '75': 2.6599999999999997, '80': 0.64, '03': 0.9299999999999999, '38': 0.4, '22': 4.470000000000001, '50': 0.4, '63': 3.3600000000000003, '66': 2.9600000000000004, '73': 0.8, '46': 2.21, '19': 0.75, '83': 0.27, '86': 0.5, '52': 0.79, '41': 0.57, '60': 1.1099999999999999, '14': 0.84, '65': 0.64, '40': 0.11, '68': 0.93, '71': 0.35, '32': 1.89, '56': 0.6599999999999999, '53': 1.0, '12': 1.4000000000000001}"
Пиво (кроме безалкогольного 3201 и 3203),"{'60': 8.1, '30': 1.3, '68': 1.8199999999999998, '04': 6.1000000000000005, '45': 16.81, '28': 1.35, '94': 3.6000000000000005, '08': 4.7, '53': 1.45, '18': 7.630000000000001, '61': 10.379999999999999, '29': 3.1500000000000004, '03': 16.05, '22': 10.500000000000002, '50': 2.3, '66': 4.5, '73': 8.61, '46': 1.85, '75': 0.9, '57': 1.8699999999999999, '19': 1.25, '86': 1.82, '41': 6.800000000000001, '35': 0.48, '44': 0.33, '78': 2.7, '85': 1.42, '20': 5.0200000000000005, '40': 0.9, '71': 0.5, '58': 1.5, '12': 2.8, '15': 81.75, '63': 0.9}"
Подушка,{}
Поливитамины без минералов отечественные,{}
Помидоры свежие,{'45': 0.9}
Порошок стиральный,"{'45': 0.8, '25': 0.4, '18': 19.1, '61': 2.85, '80': 0.45, '66': 7.9, '73': 4.0, '75': 4.85, '22': 0.35, '88': 0.4, '83': 0.4, '19': 0.8, '52': 2.43, '41': 0.8, '03': 2.5, '50': 0.35, '63': 6.0, '68': 9.5, '46': 3.0, '28': 0.4}"
Пряники,"{'04': 0.38, '25': 1.12, '18': 0.4, '61': 0.54, '94': 0.35, '63': 2.4, '66': 0.85, '73': 0.3, '22': 1.27, '19': 0.4, '86': 0.4, '41': 0.4, '03': 1.8200000000000003, '46': 0.9, '32': 1.6600000000000001, '12': 0.5, '75': 1.0}"
Пшено,"{'45': 0.8, '18': 1.3, '29': 0.08, '50': 1.0, '73': 2.4000000000000004, '03': 1.6, '22': 1.86, '56': 1.6, '94': 0.4, '63': 0.8}"
Ремонт брюк из всех видов тканей,{}
Рис шлифованный,"{'04': 0.8, '45': 2.6799999999999997, '18': 3.45, '61': 0.98, '80': 2.5, '03': 10.180000000000001, '38': 1.7000000000000002, '66': 4.3, '73': 2.6, '22': 2.6, '19': 4.2, '83': 0.9, '52': 0.08, '60': 0.9, '14': 0.8, '68': 4.0, '20': 0.8, '46': 1.8, '32': 1.6, '56': 0.8, '58': 1.6, '53': 1.8, '12': 0.8, '63': 8.38}"
Рыба мороженая неразделанная,"{'18': 0.25, '03': 1.29, '66': 0.8, '19': 1.05, '41': 0.64, '45': 0.84, '01': 0.8, '14': 0.25, '22': 0.25, '20': 2.4, '32': 2.4000000000000004, '58': 1.2000000000000002, '53': 1.23, '46': 0.8}"
Санитарно-гигиеническая маска (медицинская),{}
Сахар-песок,"{'04': 2.56, '45': 6.8, '68': 12.0, '29': 1.0, '18': 11.0, '61': 5.0, '75': 2.0, '03': 17.0, '22': 25.0, '50': 4.0, '63': 14.0, '66': 5.0, '83': 2.0, '57': 1.0, '19': 21.0, '52': 1.0, '78': 2.0, '60': 9.0, '12': 1.0, '01': 3.0, '65': 2.0, '46': 4.0, '53': 8.0, '32': 0.8}"
Свежесрезанные цветы,"{'60': 102.0, '14': 12.0, '11': 54.0, '08': 15.0, '50': 10.0}"
Свинина (кроме бескостного мяса),"{'04': 1.11, '45': 0.69}"
Свободная цена,{}
Свёкла столовая,"{'68': 0.94, '04': 1.79, '28': 0.61, '29': 0.71, '18': 1.6, '61': 1.36, '38': 0.6, '73': 1.59, '46': 1.02, '86': 0.57, '03': 1.06, '45': 2.14, '41': 0.9099999999999999, '65': 0.6, '40': 0.41, '20': 1.01, '50': 0.47, '22': 4.449999999999999, '56': 0.78, '53': 2.3899999999999997, '12': 0.73, '14': 1.23, '63': 1.06}"
Сельдь соленая,"{'28': 0.3, '19': 0.35, '03': 1.3, '53': 0.98}"
Сеннозиды А и B,{}
Сливки питьевые,"{'04': 0.53, '28': 0.5900000000000001, '18': 0.35, '61': 0.35, '03': 0.7, '83': 0.4, '22': 0.2, '58': 0.2, '53': 0.5, '46': 0.35, '75': 0.5, '45': 0.4}"
Смеси сухие молочные для детского питания,{}
Сметана,"{'68': 1.34, '04': 0.18, '45': 3.61, '94': 2.3, '25': 0.36, '08': 0.2, '92': 0.06, '46': 4.02, '65': 0.4, '18': 3.3899999999999997, '80': 1.38, '22': 6.1000000000000005, '38': 0.32, '50': 0.18, '66': 1.58, '73': 2.35, '75': 4.73, '19': 4.68, '83': 0.38, '57': 0.8300000000000001, '86': 0.5800000000000001, '52': 0.2, '41': 1.9500000000000002, '78': 0.25, '03': 3.3899999999999997, '60': 0.3, '01': 0.37, '40': 1.44, '20': 0.44999999999999996, '71': 0.6699999999999999, '29': 0.3, '32': 1.59, '58': 1.6700000000000002, '53': 0.32, '12': 1.8399999999999999, '07': 0.29, '28': 0.3, '63': 1.2000000000000002}"
Соки фруктовые,"{'68': 2.7, '04': 0.7, '94': 1.75, '08': 2.9299999999999997, '25': 1.8, '45': 9.22, '18': 6.53, '29': 0.6000000000000001, '75': 3.26, '80': 3.46, '15': 0.25, '03': 2.0, '38': 1.6, '22': 9.440000000000001, '66': 4.35, '73': 1.73, '46': 3.0, '19': 6.3999999999999995, '83': 2.0, '57': 1.0, '86': 0.4, '52': 0.4, '41': 0.6000000000000001, '78': 2.0, '60': 1.2, '63': 2.05, '12': 0.8, '14': 3.8000000000000003, '40': 2.0999999999999996, '97': 0.6000000000000001, '65': 1.0, '20': 4.0600000000000005, '71': 0.6, '58': 2.57, '53': 9.3}"
Соль поваренная пищевая,"{'18': 3.1000000000000005, '75': 2.15, '94': 2.0, '45': 0.55, '83': 3.0, '03': 1.35, '60': 1.0, '14': 8.0, '22': 5.0, '66': 1.0, '56': 1.0, '58': 3.0, '53': 2.0, '32': 1.0, '73': 1.0, '63': 2.0}"
"Сосиски, сардельки","{'04': 0.39, '45': 3.1900000000000004, '94': 1.26, '29': 0.6, '18': 4.1, '03': 6.48, '38': 0.6, '22': 9.06, '50': 0.6, '66': 2.92, '73': 1.55, '19': 2.5199999999999996, '57': 0.45, '78': 0.35, '60': 0.8999999999999999, '63': 4.32, '80': 0.33, '41': 0.6, '01': 0.36, '40': 0.6, '46': 2.43, '68': 1.6600000000000001, '71': 0.6, '32': 0.65, '58': 1.7999999999999998, '53': 0.9, '97': 0.33, '75': 0.35, '70': 5.8}"
Супрастин,{}
Сухие корма для домашних животных,"{'68': 0.82, '94': 1.58, '45': 0.43999999999999995, '18': 3.1599999999999993, '61': 1.37, '29': 0.43000000000000005, '80': 1.08, '03': 1.71, '22': 7.919999999999997, '63': 2.76, '66': 2.8400000000000003, '73': 0.4, '75': 0.69, '83': 0.83, '57': 0.09, '19': 0.3, '41': 1.9200000000000002, '60': 3.209999999999999, '12': 1.48, '01': 2.3699999999999997, '14': 0.7, '65': 2.14, '40': 0.18, '20': 0.09, '46': 1.08, '71': 0.3, '53': 2.94, '32': 1.24}"
Сухие супы в пакетах,{}
Сухофрукты,"{'45': 0.23, '18': 0.3, '22': 0.1}"
"Сырки творожные, глазированные шоколадом","{'68': 0.2, '94': 0.15, '29': 0.09, '45': 1.18, '18': 0.13, '61': 0.19, '03': 1.47, '50': 0.18, '66': 0.22, '46': 0.63, '83': 0.22000000000000003, '57': 0.12, '19': 0.14, '52': 0.32, '41': 0.14, '73': 0.18, '60': 0.04, '12': 0.08, '01': 0.08, '20': 0.27999999999999997, '58': 0.08, '22': 0.3, '75': 0.04, '28': 0.16}"
Сыры плавленые,"{'45': 0.49, '94': 0.9500000000000001, '18': 0.9800000000000001, '61': 0.8, '29': 0.27, '03': 3.6100000000000008, '22': 2.7399999999999998, '50': 0.14, '73': 0.64, '19': 0.48, '83': 0.4, '41': 0.18, '60': 0.28, '01': 0.34, '65': 0.3, '20': 0.4, '68': 0.15, '46': 0.4, '58': 0.42, '12': 0.35, '75': 0.15, '28': 0.09, '63': 0.92}"
Сыры сычужные твердые и мягкие,"{'18': 0.25, '80': 0.15, '03': 0.12, '19': 0.22, '45': 0.15, '22': 0.34, '66': 0.5}"
Термометр медицинский безртутный (галинстановый),{}
Термометр медицинский электронный стандартный,{}
Торты,"{'18': 0.44, '61': 1.5499999999999998, '29': 0.8, '80': 2.5, '22': 2.55, '50': 0.35, '66': 1.1, '45': 2.91, '46': 0.7, '32': 1.0}"
"Троксерутин, 2% гель",{}
Туалетная вода,{'54': 100.0}
Умифеновир (Арбидол),{}
"Услуги саун, бань и душевых",{}
Услуги связи,{}
Фарш мясной,"{'18': 0.5, '61': 0.7, '63': 2.0, '22': 4.3, '83': 0.5, '60': 0.7, '45': 1.61, '68': 0.7, '58': 1.0, '75': 0.4, '92': 1.5}"
Филе рыбное,"{'18': 0.2, '03': 0.44999999999999996, '38': 0.4, '22': 1.0, '73': 0.36, '19': 0.16, '52': 0.5, '60': 0.38, '45': 1.57, '12': 0.25, '41': 0.9800000000000001, '68': 0.36, '66': 0.23, '32': 0.18}"
Филе сельди соленое,"{'45': 0.38, '18': 0.2, '03': 0.3, '38': 0.4, '22': 1.0, '73': 0.36, '52': 0.5, '60': 0.38, '12': 0.25, '41': 0.8, '68': 0.36, '66': 0.23, '32': 0.18}"
"Флуоцинолона ацетонид, 0,025% мазь",{}
Халат женский,{}
