"﻿ОКАТО из ПС НСИ;Наименование"
"03405000000;Армавир0"
"3411000000;Ейск0"
"3420000000;Новороссийск0"
"3426000000;Сочи"
"03432000000;Туапсе"
"12000000000;Астраханская область"
"12401000000;Астрахань"
"12205501000;Ахтубинск"
"18000000000;Волгоградская область"
"18401000000;Волгоград"
"18415000000;Камышин"
"18420000000;Михайловка"
"60000000000;Ростовская область"
"60401000000;Ростов-на-Дону"
"60232501000;Миллерово"
"60412000000;Волгодонск"
"60250501000;Сальск"
"60437000000;Таганрог"
"60440000000;Шахты"
"67000000000;Город федерального значения Севастополь"
"67260000000;Районы города федерального значения Севастополя/"
"38;Северо-Кавказский федеральный округ"
"82000000000;Республика Дагестан"
"82401000000;Махачкала"
"82410000000;Дербент"
"82430000000;Кизляр"
"82435000000;Хасавюрт"
"26000000000;Республика Ингушетия"
"26406000000;Назрань"
"26401000000;Магас"
"26405000000;Малгобек"
"83000000000;Кабардино-Балкарская Республика"
"83401000000;Нальчик"
"83410000000;Прохладный"
"91000000000;Карачаево-Черкесская Республика"
"91401000000;Черкесск"
"91405000000;Карачаевск"
"90000000000;Республика Северная Осетия-Алания"
"90401000000;Владикавказ"
"96000000000;Чеченская Республика"
"96401000000;Грозный"
"96404000000;Гудермес0"
"7000000000;Ставропольский край"
"07401000000;Ставрополь"
"07402000000;Буденновск0"
"7424000000;Невинномысск"
"07427000000;Пятигорск"
"33;Приволжский федеральный округ"
"80000000000;Республика Башкортостан"
"80401000000;Уфа"
"80427000000;Нефтекамск"
"80443000000;Сибай"
"80445000000;Стерлитамак"
"88000000000;Республика Марий Эл"
"88401000000;Йошкар-Ола"
"88405000000;Волжск"
"89000000000;Республика Мордовия"
"89401000000;Саранск"
"89410000000;Ковылкино"
"92000000000;Республика Татарстан (Татарстан)"
"92401000000;Казань"
"92420000000;Зеленодольск"
"92430000000;Набережные Челны"
"94000000000;Удмуртская Республика"
"94401000000;Ижевск"
"94410000000;Воткинск"
"94430000000;Можга"
"97000000000;Чувашская Республика - Чувашия"
"97401000000;Чебоксары"
"97407000000;Канаш"
"57000000000;Пермский край"
"57401000000;Пермь"
"57421000000;Кудымкар"
"57408000000;Березники"
"57435000000;Чайковский"
"33000000000;Кировская область"
"33401000000;Киров"
"33407000000;Кирово-Чепецк"
"33404000000;Вятские Поляны"
"22000000000;Нижегородская область"
"22401000000;Нижний Новгород"
"22228501000;Городец"
"22240501000;Лысково"
"22437000000;Семенов"
"22254501000;Урень"
"22403000000;Арзамас"
"22421000000;Дзержинск"
"53000000000;Оренбургская область"
"53401000000;Оренбург"
"53412000000;Бузулук"
"53423000000;Орск"
"56000000000;Пензенская область"
"56401000000;Пенза"
"56405000000;Кузнецк"
"56256501000;Сердобск"
"36000000000;Самарская область"
"36401000000;Самара"
"36435000000;Сызрань"
"36440000000;Тольятти"
"36424000000;Отрадный"
"63000000000;Саратовская область"
"63401000000;Саратов"
"63207501000;Балаково"
"63208501000;Балашов"
"63237501000;Пугачев"
"73000000000;Ульяновская область"
"73401000000;Ульяновск"
"73405000000;Димитровград"
"34;Уральский федеральный округ"
"37000000000;Курганская область"
"37401000000;Курган"
"37405000000;Шадринск"
"65000000000;Свердловская область"
"65401000000;Екатеринбург"
"65436000000;Каменск-Уральский"
"65476000000;Нижний Тагил"
"65480000000;Первоуральск"
"65492000000;Серов"
"71000000000;Тюменская область"
"71100000000;Ханты-Мансийский автономный округ - Югра (Тюменская область)"
"71131000000;Ханты-Мансийск"
"71135000000;Нижневартовск"
"71136000000;Сургут"
"71181000000;Белоярский"
"71140000000;Ямало-Ненецкий автономный округ (Тюменская область)"
"71171000000;Салехард"
"71174000000;Надым"
"71176000000;Новый Уренгой"
"71178000000;Ноябрьск"
"71001000000;Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа)"
"71401000000;Тюмень"
"71405000000;Ишим"
"71410000000;Тобольск"
"75000000000;Челябинская область"
"75401000000;Челябинск"
"75434000000;Кыштым"
"75438000000;Магнитогорск"
"75442000000;Миасс"
"41;Сибирский федеральный округ"
"84000000000;Республика Алтай"
"84401000000;Горно-Алтайск"
"93000000000;Республика Тыва"
"93401000000;Кызыл"
"93254501000;Шагонар"
"95000000000;Республика Хакасия"
"95401000000;Абакан"
"95415000000;Черногорск0"
"1000000000;Алтайский край0"
"1401000000;Барнаул"
"01405000000;Бийск0"
"1416000000;Рубцовск"
"04000000000;Красноярский край"
"04401000000;Красноярск0"
"4403000000;Ачинск0"
"4420000000;Канск0"
"4422000000;Лесосибирск0"
"4423000000;Минусинск0"
"4429000000;Норильск"
"25000000000;Иркутская область"
"25401000000;Иркутск"
"25203501000;Ангарск"
"25414000000;Братск"
"25420000000;Зима"
"25236501000;Тайшет"
"25438000000;Усть-Илимск"
"32000000000;Кемеровская область - Кузбасс"
"32401000000;Кемерово"
"32431000000;Новокузнецк"
"32437000000;Прокопьевск"
"32449000000;Юрга"
"50000000000;Новосибирская область"
"50401000000;Новосибирск"
"50408000000;Бердск"
"50415000000;Куйбышев"
"52000000000;Омская область"
"52401000000;Омск"
"52405000000;Исилькуль"
"52410000000;Калачинск"
"52415000000;Тара"
"69000000000;Томская область"
"69401000000;Томск"
"69208501000;Асино"
"69232501000;Колпашево"
"69410000000;Стрежевой"
"42;Дальневосточный федеральный округ"
"81000000000;Республика Бурятия"
"81401000000;Улан-Удэ"
"81224563000;Селенгинск"
"81420000000;Северобайкальск"
"98000000000;Республика Саха (Якутия)"
"98401000000;Якутск"
"98215551000;Зырянка"
"98218501000;Вилюйск"
"98239551000;Усть-Нера"
"98241501000;Олекминск"
"98404000000;Мирный"
"98260501000;Нерюнгри"
"76000000000;Забайкальский край"
"76401000000;Чита"
"76202551000;Агинское"
"76221501000;Краснокаменск"
"76226501000;Могоча"
"30000000000;Камчатский край"
"30401000000;Петропавловск-Камчатский"
"30132657000;Палана05000000000;Приморский край"
"05401000000;Владивосток"
"05414000000;Находка0"
"5420000000;Спасск-Дальний"
"05423000000;Уссурийск0"
"8000000000;Хабаровский край0"
"8401000000;Хабаровск0"
"8409000000;Комсомольск-на-Амуре"
"10000000000;Амурская область"
"10401000000;Благовещенск"
"10412000000;Зея"
"10430000000;Свободный"
"10432000000;Тында"
"44000000000;Магаданская область"
"44401000000;Магадан"
"44213501000;Сусуман"
"44216551000;Усть-Омчуг"
"64000000000;Сахалинская область"
"64401000000;Южно-Сахалинск"
"64216501000;Корсаков"
"64236501000;Оха"
"64240501000;Поронайск"
"99000000000;Еврейская автономная область"
"99401000000;Биробиджан"
"77000000000;Чукотский автономный округ"
"77401000000;Анадырь"
hello
hello
hello
hello
hello
hello
hello
hello
hello
hello
hello
hello
hello
hello
hello
hello
hello
hello
hello
hello
hello
hello
